,Name
Zoe Leonard,28
Roni Horn,27
Lisette Model,27
Charline von Heyl,27
Joan Jonas,26
Suzanne McClelland,26
Pipilotti Rist,26
Jennifer Bartlett,26
Dorine van der Klei,25
Katharina Fritsch,25
Valérie Belin,25
Liubov Popova,24
Dorothea Tanning,24
Irene Siegel,24
Barbara Morgan,24
Anne Goldthwaite,24
Zaha Hadid,24
Carrie Mae Weems,23
Faith Ringgold,23
Marlene Dumas,23
Ruth Reeves,23
Ximena Cuevas,23
Agnes Denes,22
Paulina Olowska,22
Meredith Monk,22
Lucy McKenzie,22
Nan Goldin,22
Nicole Eisenman,22
Laurie Anderson,22
Eva Hesse,22
Elizabeth Catlett,22
Hanne Darboven,22
Shahzia Sikander,22
Haegue Yang,22
Terry Haass,22
Lisa Yuskavage,22
Reiko Sudo,21
Laure Albin-Guillot,21
Huma Bhabha,21
Laura Owens,21
Trisha Donnelly,21
Lygia Clark,21
Tina Barney,20
Marli Ehrman,20
Varvara Rodchenko,20
Marilyn Nance,20
Gauri Gill,20
Sonia Gechtoff,20
Sylvia Plimack Mangold,20
Dorothy Dehner,19
Maria Siniakova,19
Martine Syms,19
Ellen Phelan,19
Ranjani Shettar,19
Bridget Riley,19
Yayoi Kusama,19
Sara Cwynar,18
Diane Victor,18
Sanja Iveković,18
Graciela Iturbide,18
Ryoko Aoki,18
Alison Saar,18
Trude Petri-Raben,17
Sheila Hicks,17
Marguerite Zorach,17
Joyce Treiman,17
Marianne Brandt,17
Ida Applebroog,17
Julia Margaret Cameron,17
Lynne Yamamoto,17
Teresa Margolles,17
Lynda Benglis,17
Lee Lozano,17
Alice Attie,16
Bertien van Manen,16
Susan Meiselas,16
Nalini Malani,16
Marjetica Potrč,16
Hélène Delprat,15
Tomma Abts,15
Wanda Gág,15
Helene Fesenmaier,15
Andrea Fraser,15
Wendy Red Star,15
Reva Urban,15
Maria Martins,15
Alina Szapocznikow,15
Barbara Bloom,15
Isa Genzken,15
An-My Lê,14
Birgit Jürgenssen,14
Sophie Taeuber-Arp,14
Howardena Pindell,14
Bani Abidi,14
Carmen Herrera,14
Saara Hopea,14
Jenny Holzer,14
Lola Flash,14
Trisha Brown,14
Naomi Savage,14
Hella Jongerius,14
Luisa Zuloaga de Palacios,14
Joan Lyons,14
Emmy Andriesse,13
Seher Shah,13
Nell Blaine,13
Tracey Moffatt,13
Wangechi Mutu,13
Germaine Krull,13
Suzanne Valadon,13
Mako Idemitsu,13
Monica Bonvicini,13
Liisa Roberts,13
Laurie Simmons,13
Tacita Dean,13
Anna Andreeva,13
Diana Michener,13
Joyce Sills,13
Suzan Frecon,13
Chitra Ganesh,13
Florence Henri,12
Honoré Sharrer,12
Lotte Jacobi,12
Georgia O'Keeffe,12
Anna Boghiguian,12
R. H. Quaytman,12
Hannah Höch,12
Tanyth Berkeley,12
Amy Cutler,12
Mabel Dwight,12
Dolly Perutz,12
Marion Post Wolcott,12
Sibylle Bergemann,12
Mariette Pathy Allen,12
Silvia Bächli,12
Lisa Fromartz,11
Sari Dienes,11
Jean Kellogg,11
Elaine de Kooning,11
Olivia Parker,11
Kamala Ibrahim Ishag,11
Sara Facio,11
Denise Green,11
Lydia Naumova,11
Kosuke Araki,11
Claudette Schreuders,11
Clare Strand,11
Delia R. Gonzalez,11
Nancy Spero,11
Steina,11
Niki de Saint Phalle,11
Dora Maar,11
Leslie Hewitt,11
Lucie Rie,11
Sheila Isham,11
Alice Halicka,11
Rineke Dijkstra,11
Yto Barrada,11
Lieko Shiga,11
Ann Hamilton,10
Isabel Bishop,10
Birgit Skiöld,10
Alessandra Sanguinetti,10
Carol Bove,10
Lea Lublin,10
Gertrudes Altschul,10
Pushpamala N,10
Lee Krasner,10
Amanda Williams,10
Lois Long,10
Ingeborg Gabriel,10
Noémi Raymond,10
Lois Conner,10
Ketaki Sheth,10
Yuki Kimura,10
Julia Wachtel,10
Maria Lassnig,10
Channa Horwitz,10
Dasha Shishkin,10
JoAnn Verburg,10
Nancy Graves,10
Laura Grisi,10
Ruth Root,10
Dóra Maurer,10
Abby Leigh,10
Jane Hammond,10
Rogi André (Rozsa Klein),10
Geta Brătescu,10
Jane Wilson,9
Charlotte Posenenske,9
Paz Errázuriz,9
Renée Sintenis,9
Cristina Iglesias,9
Alice Aycock,9
Judith Shea,9
Valentina Kulagina,9
Anne Truitt,9
Mary E. Frey,9
Alice Neel,9
Johanna Calle,9
Martine Franck,9
Nancy Rubins,9
Laura Gilpin,9
Barbara Brändli,9
Katalin Ladik,9
Pae White,9
Yvonne Rainer,9
Aenne Biermann,9
Lois Lane,9
Liza Lou,9
LaToya Ruby Frazier,8
Atsuko Tanaka,8
Louise Dahl-Wolfe,8
Beatriz Milhazes,8
Fernanda Gomes,8
Carmela Gross,8
Michal Rovner,8
Park McArthur,8
Amy Sillman,8
Ana Mendieta,8
Ming Smith,8
Nicola Tyson,8
Paula Scher,8
Taryn Simon,8
Sheron Rupp,8
Dorothy Norman,8
Hella Fischer-Thorer,8
Gillian Wearing,8
Susana Solano,8
Eileen Gray,8
Yvonne Jacquette,8
Christiane Baumgartner,8
Elaine Mayes,8
Sarah Sze,8
Mattia Moreni,8
Hayley Tompkins,8
Beatrice Riese,7
Karin Sander,7
Dana Atchley,7
Irina Rozovsky,7
Kati Horna,7
Toyin Ojih Odutola,7
Nan Hoover,7
Emily Belding,7
Minnie Evans,7
Joan Snyder,7
Dana Duff,7
Mary Beth Edelson,7
Grete Wolf-Krakauer,7
Jorinde Voigt,7
Rita McBride,7
Kay WalkingStick,7
Sonia Švecová,7
Nathalie du Pasquier,7
E. V. Day,7
Stephanie Syjuco,7
Nye Ffarrabas (formerly Bici Forbes and Bici Forbes Hendricks),7
Julia Jacquette,7
Ilka Gedő,7
Rosângela Rennó,7
Birgit Megerle,7
Victoria Cabezas,7
Ritva Puotila,7
Dorothy Liebes,7
Merle Spandorfer,7
Jackie Ferrara,7
Ekaterina Turova,7
Merry Alpern,7
Jay DeFeo,7
Julie Zando,7
Sandra Vásquez de la Horra,7
Violet Hopkins,7
Marianne Strengell,7
Mai-Thu Perret,7
Ulrike Müller,7
Mimi Smith,7
Sarah Lucas,7
Catherine Opie,7
Elena Semenova,7
Inka Essenhigh,7
Mamma Andersson,6
Pearl Blauvelt,6
Farah Al Qasimi,6
Simone Nieweg,6
Xenon Straub,6
Katerina Lanfranco,6
Shirazeh Houshiary,6
Marcia Resnick,6
Sue Williams,6
Gilda Mantilla,6
Dorit Margreiter,6
Sam Contis,6
Swoon,6
Vanessa Beecroft,6
Gwen John,6
Marilyn Minter,6
Dionne Lee,6
Kembra Pfahler,6
Shio Kusaka,6
Loren MacIver,6
Shirana Shahbazi,6
Jitka Hanzlová,6
Hodaka Yoshida,6
Eve Aschheim,6
Anna Bella Geiger,6
Zanele Muholi,6
Paloma Varga Weisz,6
SEO (Seo Soo-Kyoung),6
Joyce Kozloff,6
Consuelo Kanaga,6
Judy Pfaff,6
Germaine Richier,6
Sonja Sekula,6
Joan Albert,6
Magdalena Abakanowicz,6
Mary Heilmann,6
Sarah Charlesworth,6
James Nares,6
Caroline Slotte,6
Kerstin Brätsch,6
Mirtha Dermisache,6
Senga Nengudi,6
Miriam Schapiro,6
Shelby Hughes,6
Louisa Chase,6
Anupama Kundoo,6
Frances Stark,6
Sue Coe,6
Dara Birnbaum,6
Alice Hutchins,5
Běla Kolářová,5
Barbara Norfleet,5
Anna Halprin,5
Ann Craven,5
Every Ocean Hughes,5
Gladys Nilsson,5
Kerry Tribe,5
B. Ingrid Olson,5
Rosemary Mayer,5
Lenore Tawney,5
Joan Banach,5
Lygia Pape,5
Emma Amos,5
Kim Keever,5
Teresa Moro,5
Gundula Schulze-Eldowy,5
Hito Steyerl,5
Sage Sohier,5
Michelle Stuart,5
Prunella Clough,5
Minna Citron,5
Barbara Chase-Riboud,5
Sibylle Möllering-Kaldewey,5
Lynette Yiadom-Boakye,5
Zofia Rydet,5
Chloe Piene,5
Marilyn Bridges,5
Jo Ractliffe,5
Anna Gaskell,5
Nanny Still,5
Andrea Büttner,5
Flor Garduño,5
Sondra Perry,5
Marian Mahler,5
Paula Modersohn-Becker,5
ORLAN (Mirielle Suzanne Francette Porte),5
Lucia Moholy,5
Marina Adams,5
Laurel Nakadate,5
Yui Kugimiya,5
Cecily Brown,5
Christina Ramberg,5
Sara VanDerBeek,5
Lori Ellison,5
Marie Losier,5
Sylvie Fleury,5
Carla Liss,5
Debra Hampton,5
Mary Bauermeister,5
Tala Madani,5
Edith Dekyndt,5
Leonora Carrington,5
Mary Miss,5
Erin Shirreff,5
Katy Grannan,5
Grete Stern,5
Klara Liden,5
Sharon Hayes,5
Claudia Comte,5
Deborah Fleming Caffery,5
Raque Ford,4
Ana Maria Moncalvo,4
Margarete (Grete) Heymann Loebenstein Marks,4
Lucienne Day,4
Vanessa Bell,4
Maya Deren,4
Kim McCarty,4
Mabel Rubli,4
Sheila Metzner,4
April Gornik,4
Andrea Bowers,4
Hannelore Baron,4
Jane Freilicher,4
Amelia Peláez Del Casal,4
Mary Petty,4
Irene Rice Pereira,4
Natalia Pinus,4
Eva Lipman,4
Lorie Novak,4
Martirene Alcántara,4
Justine Kurland,4
Alma Lavenson,4
Nancy Hellebrand,4
Kseniia Boguslavskaia,4
Tabaimo,4
Yvonne Delattre,4
Ringl + Pit,4
Mary Weatherford,4
Leona Pierce,4
Alexis Smith,4
Caroline Durieux,4
Josephine Pryde,4
Barbara Hepworth,4
Lettie A. Allen,4
Sable Elyse Smith,4
Regina Silveira,4
Simone Shubuck,4
Lesley Dill,4
Marisa Merz,4
Uta Barth,4
Kay Sage,4
Nell Dorr,4
Dani (Leventhal) ReStack,4
Sylvia Wald,4
C. & I. Hohenbüchler,4
Alyson Shotz,4
Vivian Browne,4
Cindy van den Bremen,4
Barbara Kasten,4
Jane Kaplowitz,4
Anne Turyn,4
Vivian Cherry,4
Shirin Neshat,4
Julia Rommel,4
Nono Reinhold,4
Valentine Hugo,4
Lin Tianmiao,4
Linda Connor,4
Jenny Perlin,4
Tomoko Miho,4
Simryn Gill,4
Tracy Nakayama,4
Julia Fish,4
Amelie von Wulffen,4
Jeanne Dunning,4
Senzeni Marasela,4
Gina Pane,4
Eszter Haraszty,4
Carole Seborovski,4
Jeanne Moutoussamy-Ashe,4
Sara Greenberger Rafferty,4
Sybil Andrews,4
Ruth Bernhard,4
Hellen Van Meene,4
Sofia Borges,4
Edith Heath,4
Louise Campbell,4
Dyani White Hawk,4
Ida O'Keeffe,4
Collier Schorr,4
Patti Smith,4
Katharina Bosse,4
Maria Kipp,4
Graciela Carnevale,4
Eileen Quinlan,4
Sigalit Landau,4
Mary Frank,4
Amy O'Neill,4
Barbara Jones-Hogu,4
Nancy Holt,4
Amie Siegel,3
Elise (Elise Seeds Armitage),3
Deirdre Burnett,3
Laurence Humier,3
Katharina Wulff,3
Jan Hashey,3
Sandi Haber Fifield,3
Margrethe Mather,3
Anne Noggle,3
Katherine Porter,3
Graziella Urbinati,3
Kirstine Roepstorff,3
June Redfern,3
Toba Tucker,3
Bea Maddock,3
Judy Gelles,3
Camille Henrot,3
Ulli Maier,3
Anne Marie Fishbein,3
Jac Leirner,3
Sue de Beer,3
Iman Issa,3
Katy Schimert,3
Elsa Schmid,3
Dominique Gonzalez-Foerster,3
Jane Dickson,3
Kumi Machida,3
Valentina Kulagina-Klutsis,3
Mary Ellen Mark,3
Regina José Galindo,3
Rachel Selekman,3
Vaginal Davis,3
Shannon Ebner,3
Hazel Kingsbury,3
Blythe Bohnen,3
Maxi Cohen,3
Vibeke Tandberg,3
Dannielle Tegeder,3
Maria Serebriakova,3
Lina Bo Bardi,3
Karen Kilimnik,3
Ruth Bessoudo Courvoisier,3
Jane Knížák,3
Lara Schnitger,3
Toots Zynsky,3
Alison Rossiter,3
Audrey Flack,3
Gertrude Greene,3
Joyce Pensato,3
Donia Nachshen,3
Vera Molnar,3
Lisl Ponger,3
Julie Becker,3
Astrid Sampe,3
Vuokko Eskolin,3
Ardele Lister,3
Mary Rogers,3
Angèle Etoundi Essamba,3
Jo Ann Callis,3
Sandra Gamarra,3
Clara E. Sipprell,3
Emily Jacir,3
Lisa Oppenheim,3
Vera (Vera Neumann),3
Shizuko Muller-Yoshikawa,3
Abigail Perlmutter,3
Susan Turcot,3
Maria Helena Vieira da Silva,3
Toba Khedoori,3
Anne Chu,3
Anne W. Brigman,3
Maria Brunner,3
Natal'ia Nagorskaia,3
Bertha Trabich,3
Elizaveta Ignatovich,3
Eva Watson-Schütze,3
Orly Genger,3
Norma G. Morgan,3
Vera Lisková,3
Letícia Parente,3
Marguerite Wildenhain,3
Marie Cosindas,3
Toyen (Marie Čermínová),3
Susan Te Kahurangi King,3
Diamond Stingily,3
Lola Alvarez Bravo,3
Fayga Ostrower,3
Anna Ticho,3
Ellen Berkenblit,3
Raquel Forner,3
Emma Gismondi Schweinberger,3
Jackie Winsor,3
Nasreen Mohamedi,3
Elizabeth Simonson,3
Nancy Rexroth,3
Alice Trumbull Mason,3
Steffani Jemison,3
Marguerita Mergentime,3
Gloria della Vittoria,3
Heidi Bucher,3
Janine Antoni,3
Pauline Oliveros,3
Sonia Lewitzka,3
Alex Prager,3
Mindy Faber,3
Rei Naito,3
Mika Rottenberg,3
Diane Lewis,3
Anna Ostoya,3
Aki Inomata,3
Wu Tsang,3
Dotty Attie,3
Dana Schutz,3
Amy Gartrell,3
Miyako Ishiuchi,3
Alicia Orlandi,3
Anne Collier,3
Marcia Hafif,3
Judy Dater,3
Esther Bubley,3
Barbara Probst,3
Suzanne R. Dworsky,3
Claudy Jongstra,3
Ursula von Rydingsvard,3
Charmion von Wiegand,3
Anna Atkins,3
Sturtevant,3
Jennifer Pastor,3
Lyn Gardiner,3
Annette Lemieux,3
Warja Lavater,3
Alice Rahon,3
Janice Guy,3
Nancy Burson,3
Maria Laet,3
Christine Sun Kim,3
Frida Kahlo,3
Sarah Morris,3
Agatha Wojciechowsky,3
Winka Dubbeldam,3
Hiroe Saeki,3
Camille Billops,3
Deborah Turbeville,3
Pierrette Bloch,3
Paola Ferrario,3
Lida Moser,3
Dinora (Doudtchitsky),3
Colleen Frances Kenyon,3
Ginny Bishton,3
Elisabeth Hase,3
May Stevens,3
Lucia Radochonska,3
Beatrice Wood,3
Patricia Johanson,3
Ester Partegàs,3
Clara Tice,3
Rivane Neuenschwander,3
Catherine Murphy,3
Elena del Rivero,3
Jo Ann Walters,3
Jenny Roed,3
Pitseolak,3
Akiko Shirai,3
Xaviera Simmons,3
Mary Cassatt,3
Doris Salcedo,3
Susan Hambleton,2
Minerva Cuevas,2
Sandra Mujinga,2
Louisiana Bendolph,2
Hermine David,2
Ebecho Muslimova,2
Karen Eubel,2
Joan Brown,2
Bea Nettles,2
Ylla,2
Sandi Fellman,2
Ryah Ludins,2
Maria Magdalena Campos-Pons,2
Roser Llop Bru,2
Amalia Pica,2
Mary Callery,2
Sylvia Gosse,2
Bouchra Khalili,2
Ruth Orkin,2
Joanna Piotrowska,2
Sandy Walker,2
Jessie Tarbox Beals,2
Lynn Davis,2
Karin Apollonia Müller,2
Helen De Michiel,2
Sue Williamson,2
Cao Fei,2
Jody Shields,2
Hilda Morris,2
Claudia Hart,2
Patricia Jon Carroll,2
Ruth Velissaratos,2
Margaret Watkins,2
Sam Taylor-Wood,2
Futzie Nutzle,2
Helen Torr,2
Carey Maxon,2
Anicka Yi,2
Tania Bruguera,2
Suzy Lake,2
Sophie Tottie,2
Sue Fuller,2
Nair Benedicto,2
Lina Zervudaki,2
Mariah Robertson,2
Sheila Fournier,2
Greta Magnusson Grossman,2
Alma Woodsey Thomas,2
Odette des Garets,2
Nicola López,2
Hulleah J. Tsinhnahjinnie,2
Martha Wilson,2
Jennett Lam,2
Sandra Llano-Mejia,2
Sylvia Sleigh,2
Vera Ivanova,2
Susan Hiller,2
Valentina Khodasevich,2
Marilynn K. Yee/The New York Times,2
Colette Alvarez Urbajtel,2
Beth Campbell,2
Noriko Ambe,2
Mary Curtis,2
Gretchen Bender,2
Meridel Rubenstein,2
Pia Gazzola,2
Genevieve Naylor,2
Dora Jung,2
Priscilla T. Forthman,2
Leslie Thornton,2
Annett Zinsmeister,2
Jill Baroff,2
Li Yongbin,2
Frances Felten,2
Maria Uhden,2
Yva (Else Ernestine Neuländer),2
Rimma Zanjevskaja,2
Loretta Fahrenholz,2
Rosemarie Castoro,2
Esphyr Slobodkina,2
Kate Millett,2
Huguette Franco,2
Vera Bocayuva Mindlin,2
Bonnie Maclean,2
Zoe Crosher,2
Evelene Wechsler,2
Barbara Mors,2
Dayanita Singh,2
Mimi Parent,2
Mabelle Richardson,2
Kerstin Kartscher,2
Judith Bernstein,2
Katharina Grosse,2
Betty Woodman,2
Jamie Isenstein,2
Lisa Steele,2
Mary L. Seaman,2
Maria Catalina Otero Lamas,2
Yvonne Droge-Wendel,2
Alena Kučerová,2
Donna-Lee Phillips,2
Joan Semmel,2
Janet Cardiff,2
Samella Lewis,2
Berlinde De Bruyckere,2
Helga Nykopp,2
Nancy Buchanan,2
Helen Marten,2
Monika Correa,2
Jacqueline Poncelet,2
Janice Kerbel,2
Carlotta Corpron,2
Lisa Ruyter,2
Lily Cushing,2
Charlene Liu,2
Karen Heagle,2
Noemi Smilansky,2
Markéta Luskacová,2
A.K. Burns,2
Nina Tryggvadottir,2
Miriam Böhm,2
Cecelia Condit,2
Susan Unterberg,2
Nathlie Provosty,2
Agnès Varda,2
Luchita Hurtado,2
Betty Hahn,2
Martha Diamond,2
Maria Lagorio,2
Emma Lu Davis,2
Jennie C. Jones,2
Patricia Urquiola,2
Franziska Furter,2
Maria Bri-Bein,2
Martine Barrat,2
Margherita Manzelli,2
Patty Chang,2
Martha Tuttle,2
Olga Costa,2
Meredith Danluck,2
Lotte Beese,2
Sara Sosnowy,2
Etel Adnan,2
Halina Chrostowska,2
Elyn Zimmerman,2
Carla Arocha,2
Alicja Szubert-Olszewska,2
Antonia Campi,2
Barbara Rossi,2
Tarsila do Amaral,2
Tone Vigeland,2
Gabrielle L’Hirondelle Hill,2
Catherine Lee,2
Alice Adams,2
Lourdes Portillo,2
Ivana Keser,2
Regina Maria De Luise,2
Lucy Skaer,2
Althea McNish,2
Judith Black,2
Kathleen Agnoli,2
Jessica Diamond,2
Dalla Husband,2
Dora M. Batty,2
Elfriede Stegemeyer,2
Andrea Geyer,2
Laylah Ali,2
Stefana McClure,2
Julia Lohmann,2
Moik Schiele,2
Dara Friedman,2
April Greiman,2
Monica Majoli,2
Jessica Stockholder,2
Ellen Spiro,2
Madelon Vriesendorp,2
Tria Giovan,2
Dorothy Hood,2
Valery Gerlovin,2
Claude Cahun (Lucy Schwob),2
Alice Baber,2
Inge Morath,2
Janet Fish,2
Marlow Moss,2
Kazuko Miyamoto,2
Manon de Boer,2
Amy Arbus,2
Ewa Partum,2
Judith Godwin,2
Mariana Yampolsky,2
Eva Rothschild,2
Dulce Carneiro,2
Eloise Howard,2
Teresita Fernández,2
matali crasset,2
Emily Fuller,2
Suwon Lee,2
Ena Swansea,2
Annette Kelm,2
Grega Košak,2
Mariana Cook,2
Tracey Emin,2
Jennifer Morla,2
Betty Goodwin,2
Michele Abeles,2
Betty Clark Little,2
Barbara Hammann,2
Rosalind Nashashibi,2
Ketty La Rocca,2
Jutta Koether,2
Charlotte Perriand,2
Rosa Loy,2
Shinako Sato,2
Jill Moser,2
Jóhanna Boga,2
Saloua Raouda Choucair,2
Catherine Wagner,2
Constance Brenner Vieira Da Cunha,2
Wendy MacNeil,2
Izabella Gustowska,2
Ann McCoy,2
Angela Jansen,2
Maria Hees,2
Johanna Kandl,2
Leslie Beaton,2
Ati Maier,2
Elaine Reichek,2
Jane Dickerman,2
Cosima von Bonin,2
Milly Steger,2
Carol Block Taback,2
Polly Apfelbaum,2
Klára Tamás,2
Sally Osborn,2
Nancy Grossman,2
Lucy Raven,2
Branda Miller,2
Joan Witek,2
Ekaterina Zernova,2
Francesca Woodman,2
Hajra Waheed,2
Mary Lee Bendolph,2
Lidy Prati,2
Elinor Carucci,2
Victoria Sambunaris,2
Berni Searle,2
Cornelia Parker,2
Ilene Segalove,2
Shambhavi,2
Cheryl Donegan,2
Christa Ehrlich,2
Helen Rae,2
Lynne Drexler,2
Liz Deschenes,2
Janet Sobel,2
Georgina Starr,2
Ulrike Rosenbach,2
Sylvia Wolf,2
Dawn Clements,2
Ruth Vollmer,2
Gae Aulenti,2
Claire Wagner Kosterlitz,2
Mildred Thompson,2
Joëlle Tuerlinckx,2
Gloria Cortella,2
Kristin Lucas,2
Silvia Kolbowski,2
Rochelle Feinstein,2
Barbara Degerman,2
Susan Kaprov,2
Chunghi Choo,2
Miriam Chiaverini,2
Susan Friedman,2
Liang Yue,2
Olga De Amaral,2
Lee Conklin,2
Nomathemba Tana,2
Miriam Cahn,2
Josephine Meckseper,2
Clare Rojas,2
Mary Kocol,2
Monika Sosnowska,2
Trude Fleischmann,2
Nina Lola Bachhuber,2
Florence Knoll,2
Aurèlia Muñoz,2
Terry Evans,2
Luca Crippa,2
Llewellyn Xavier,2
Torun Bülow-Hübe,2
Marina Pinsky,2
Cindy Bernard,2
Mary Ethel Thompson,2
Elfi Schuselka,2
Clare Stephenson,2
Mariko Mori,2
Kay Rosen,2
Monika Baer,2
Judith Barry,2
Alice von Pechmann,2
Shirley Goldfarb,2
Edith Behring,2
Ursula Morley Price,2
Aslı Çavuşoğlu,2
Robin Schwartz,2
Fannie Hillsmith,2
Elizabeth Hallenbeck,2
Sarah Walker,2
Michelle Segre,2
Majda Dobravec-Lajovic,2
Frances Butler,2
Gertrud Arndt,2
Jen DeNike,2
Marie Luise Lebschik,2
Allyson Strafella,2
Elisabeth Frink,2
Nairy Baghramian,2
Elizabeth Blackadder,2
Lesley Vance,2
Sally Mann,1
Mrinalini Mukherjee,1
Helen Chadwick,1
Bonnie Gordon,1
Lonnie van Brummelen,1
Tamiko Thiel,1
Jane Veeder,1
Ava Gerber,1
Pratibha Parmar,1
Harumi Yamaguchi,1
Doris Seidler,1
Barbara Kraus,1
Barbara Brown,1
Gerda Strömberg,1
Elisabeth Grübl,1
Betty Skowronski,1
Michaela Eichwald,1
"Elizabeth ""Grandma"" Layton",1
Noriko Furunishi,1
Barbara Jaffe,1
Jeanne Bardey,1
Mary Corse,1
Marion Mahony Griffin,1
Mathilde Weil,1
Anya Phillips,1
Anna Blume,1
Marguerite van Cook,1
Barbara Horosko,1
Jan Peacock,1
C. Emanuele Ponzio,1
Marianne Breslauer,1
Marianna Schmidt,1
Wendela Boreel,1
Sheela Gowda,1
Ljuba Kozintzeva-Ehrenburg,1
Adi Rosenblum,1
Thelma Becherer,1
Adele Röder,1
Tamami Shima,1
Ohmae Hiroshi,1
Alisa Poret,1
Worden Day,1
Aretha Franklin,1
Benita Koch-Otte,1
Kirsten Kraa,1
Dolores Dembus Bittleman,1
Nathalie Djurberg,1
Valeska Soares,1
Cornelia Lauf,1
Joan Livingstone,1
Violet Suk,1
Viola Gråsten,1
Nancy Youdelman,1
Alexandra Domanovic,1
Hortense B. Isenberg,1
A. R. de Ycaza,1
Berthe Morisot,1
Katarzyna Kobro,1
Carole Benzaken,1
Margaret Hoening French,1
Miriam Bat-Yosef,1
Annika Eriksson,1
Karen Klugman,1
Maria Benktzon,1
Robyn Miller,1
Suzanne Hausammann,1
Flora Manteola,1
Annabel Jankel,1
Alison Sky,1
Wijnanda Deroo,1
Valerie Jaudon,1
Jann Haworth,1
Kelly McLane,1
Katherine S. Dreier,1
Sara Diamond,1
Jean Cohen,1
Eleanore Peduzzi-Riva,1
Rona Pondick,1
Nancy Azara,1
Amanda Levete,1
Kate Simon,1
Gertrud Natzler,1
Karla Knight,1
Teresa Chang,1
Raha Raissnia,1
Katherine Ball,1
Françoise Saint-Thibault,1
Christy Astuy,1
Shu Lea Cheang,1
Mildred E. Williams,1
Margaret Lanzetta,1
Melodie McDaniel,1
Sheila Pinkel,1
Sofiia Nalepins'ka,1
Virginia Rutledge,1
Benita Sanders,1
Cami Stone,1
Grete Jalk,1
Manya Kuzemchenko,1
Yvonne Farrell,1
Julia Phillips,1
Jean Follett,1
Rania Ghosn,1
Deborah Kass,1
Judith Mason,1
Khabias [pseudonym Of Nina Komarova],1
Carole Klonarides,1
Barbara E. Fumagalli,1
Aude Jessemin,1
Shelly Silver,1
Nancy Reitkopf,1
Pepi Weixlgartner,1
Florencia de Amesti,1
Jacqueline Yuan Quinn,1
Sheri Martinelli,1
Nancy Skolos,1
Mirjana Djordjevic,1
Katherine Turczan,1
Katja Strunz,1
Paddy Johnson,1
Teresa Żarnower,1
Jane Poupelet,1
Christine Boyer,1
Diana Agrest,1
Laura Andreson,1
Monika Andersson,1
Stanya Kahn,1
Karin Schou Andersen,1
Yoko Maruyama,1
Andrea Starl,1
Kazuyo Sejima,1
Ellen Siegel,1
Marcia Herscovitz,1
Elsa Fischer-Treyden,1
Milagros de la Torre,1
Pamela Bianco,1
Eve Andrée Laramée,1
Shelley McNamara,1
Jane Logemann,1
"Edra Mazzei, Pisa, Italy",1
