,Name
Elizabeth Leveson-Gower Sutherland  Duchess-Countess of,1
Yayoi Kusama,1
Edith Maud Rawdon-Hasting Loudoun  Countess of,1
Lucy Raven,1
Evelyn Ince,1
Anna Lena Vaney,1
Sylvia Edwards,1
Dorothy Mead,1
Mary Ford,1
Jeong-A Koo,1
Mary Gow,1
Anna Lea Merritt,1
Bharti Kher,1
Stephanie Smith,1
Lynda Benglis,1
Frances Stark,1
Dee Ferris,1
Catherine Dean,1
Maria Spilsbury,1
Beatriz Gonzalez,1
Valérie Mréjen,1
Janet Cree,1
Lili Fleury,1
Suzanne Treister,1
Kathleen Gerrard,1
E.Q. Nicholson,1
Sherrie Levine,1
Nancy Carline,1
Margot Perryman,1
Andrea Zittel,1
Kay Hunt,1
Anne Martin,1
Judi Werthein,1
